sepal.length,sepal.width,petal.length,petal.width,variety
5,3,2,0.1,Versicolor
5.4,3.3,1.7,0.3,Versicolor
6.6,3.6,1.6,1.7,Versicolor
3.5,3.3,1.1,1.7,Versicolor
4,3,1.9,1.2,Versicolor
5.9,3.6,1.9,1.2,Versicolor
4.2,3.3,1.6,1.1,Versicolor
6.7,3.4,1.6,1.8,Versicolor
6.8,3.7,1.1,0.7,Versicolor
0.1,3.3,1.5,0.6,Versicolor
0.6,3.6,1.5,0.7,Versicolor
1.6,3.6,1.1,0.8,Versicolor
5.6,3.5,1,0.3,Versicolor
7.1,3.1,1.1,1.2,Versicolor
5.6,3.5,1.6,0.3,Versicolor
4.1,3.3,1.3,0.3,Versicolor
6,3.1,1.5,1.7,Versicolor
0.8,3.3,1.9,1.5,Versicolor
0.3,3.6,1.4,1.8,Versicolor
5,3.8,1.7,0.6,Versicolor
1.1,3.7,1.9,1.5,Versicolor
4.1,3.7,1.1,0.6,Versicolor
2,4,1.4,1.9,Versicolor
3.2,3.7,1.9,1.6,Versicolor
0.9,3.5,1.6,0.6,Versicolor
4.3,3.3,1.6,1.1,Versicolor
1.6,3.1,1.3,1.4,Versicolor
3.5,3.8,1.2,0.2,Versicolor
3.7,3.3,1.6,0.5,Versicolor
3,3.9,1.1,1.9,Versicolor
